NAPS_ID,City,P_T,Location,Latitude,Longitude,Elevation,Classification,ID,Minimum,10th_Percentile,30th_Percentile,50th_Percentile,70th_Percentile,80th_Percentile,90th_Percentile,95th_Percentile,98th_Percentile,99th_Percentile,99.9th_Percentile,Maximum,Percent_Completeness,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard_Deviation,Year
101501,Metro Van - Maple Ridge,BC,23124 118th Avenue,49.21494,-122.582057,50,"PE,LU,P4,R",DMean,0.11,0.14,0.17,0.19,0.22,0.25,0.3,0.39,0.46,0.51,0.84,0.84,99.178082192,0.24,0.22,0.2,0.18,0.18,0.15,0.17,0.29,0.18,0.25,0.24,0.24,0.21,0.084960152,2018
129003,Yellowknife,NT,"52nd Ave & 49t Street, Sir John Franklin High School",62.45207,-114.364,193,"PE,SU,P3,R",DMean,0.09,0.12,0.14,0.16,0.18,0.2,0.22,0.25,0.28,0.29,0.36,0.36,99.726027397,0.2,0.22,0.2,0.18,0.14,0.12,0.12,0.14,0.15,0.15,0.15,0.18,0.16,0.043051566,2018
129203,Inuvik,NT,"Bompas Road (Block21, Lot 4084)",68.35702,-133.714057,30,"PE,SU,P2,R",DMean,0,0.01,0.03,0.09,0.14,0.19,0.28,0.34,0.39,0.47,0.65,0.65,99.452054795,0.02,0.05,0.05,0.14,0.09,0.11,0.02,0.04,0.08,0.17,0.26,0.34,0.12,0.111265699,2018
129601,Fort Smith,NT,95 Conibear Crescent,60.00455,-111.893241,358,"PE,SU,P2,R",DMean,0,0.02,0.09,0.14,0.26,0.32,0.36,0.38,0.42,0.44,0.48,0.48,99.178082192,0.27,0.34,0.37,0.27,0.11,0.05,0.03,0.05,0.06,0.14,0.2,0.22,0.18,0.125744103,2018
10102,St Johns,NL,354 Water Street,47.56038,-52.71147,17,"PE,LU,P4,R",DMean,0.07,0.11,0.14,0.16,0.19,0.2,0.22,0.24,0.27,0.31,0.52,0.52,95.616438356,0.2,0.2,0.19,0.19,0.17,0.19,0.18,0.17,0.15,0.13,0.13,0.14,0.17,0.045912545,2015
10401,Mount Pearl,NL,Old Placentia Road,47.50513,-52.79476,134,"PE,LU,P3,R",DMean,0.11,0.15,0.18,0.2,0.22,0.24,0.28,0.3,0.32,0.34,0.35,0.35,100,0.21,0.21,0.21,0.2,0.21,0.2,0.24,0.28,0.24,0.18,0.15,0.15,0.21,0.04750708,2015
10501,Grand Falls-Windsor,NL,Scott Avenue,48.92696,-55.65966,64,"PE,SU,P3,I",DMean,0.08,0.09,0.11,0.13,0.15,0.16,0.19,0.21,0.22,0.23,0.35,0.35,93.97260274,0.18,0.18,0.17,0.15,0.12,0.1,0.11,0.11,0.11,0.11,0.13,0.14,0.13,0.036920633,2015
10602,Corner Brook,NL,Macpherson Ave,48.95224,-57.92207,99,"PE,SU,P2,I",DMean,0.1,0.12,0.13,0.15,0.16,0.17,0.18,0.2,0.21,0.25,0.36,0.36,100,0.17,0.19,0.18,0.16,0.15,0.12,0.13,0.14,0.13,0.13,0.14,0.15,0.15,0.029425193,2015
10901,Marystown,NL,18 Hwy 220 (Main St.),47.09899,-55.19852,1,"RB,NU,P2,R",DMean,0.06,0.1,0.11,0.13,0.14,0.14,0.15,0.16,0.18,0.34,0.49,0.49,97.808219178,0.14,0.15,0.15,0.12,0.12,0.12,0.14,0.13,0.12,0.12,0.11,0.13,0.13,0.03545317,2015
30118,Halifax,NS,1649 Barrington Street,44.646425,-63.573383,18,"PE,LU,P4,R",DMean,0.01,0.08,0.13,0.19,0.25,0.29,0.34,0.39,0.42,0.51,0.66,0.66,99.726027397,0.27,0.34,0.32,0.09,0.11,0.12,0.17,0.24,0.21,0.15,0.16,0.25,0.2,0.104438262,2015
30310,Sydney,NS,71 Welton Street,46.14222,-60.17252,27,"PE,SU,P3,R",DMean,0,0.03,0.08,0.18,0.24,0.26,0.29,0.32,0.36,0.41,0.46,0.46,99.452054795,0.25,0.31,0.24,0.21,0.23,0.26,0.14,0.06,0.1,0.07,0.05,0.1,0.17,0.103539934,2015
40103,Fredericton,NB,437 Aberdeen Street,45.957318,-66.646719,21,"PE,MU,P3,R",DMean,0.01,0.14,0.19,0.22,0.26,0.29,0.33,0.4,0.45,0.48,0.55,0.55,84.931506849,0.22,0.28,0.23,0.2,0.2,0.2,0.24,,0.21,,0.16,0.34,0.23,0.082999414,2015
40206,Saint John,NB,189 Prince William,45.269677,-66.06151,29,"PE,MU,P3,R",DMean,0.11,0.14,0.17,0.18,0.2,0.21,0.23,0.25,0.28,0.3,0.4,0.4,89.04109589,0.2,0.21,0.2,0.19,,0.16,0.2,0.18,0.18,0.16,0.17,0.19,0.19,0.037550053,2015
40302,Moncton,NB,5 Thanet Street,46.101578,-64.789661,9,"T,LU,P4,R",DMean,0.01,0.07,0.14,0.19,0.23,0.27,0.3,0.34,0.43,0.46,0.64,0.64,94.520547945,0.23,0.22,0.22,0.22,0.18,0.14,0.22,0.15,0.2,,0.15,0.18,0.19,0.097616853,2015
50109,Montral,QC,"2495 Duncan / Decarie, Mt-Royal",45.502648,-73.663913,41,"T,LU,P6,I",DMean,0.13,0.2,0.24,0.27,0.3,0.32,0.36,0.39,0.44,0.49,0.78,0.78,85.753424658,0.33,0.34,0.31,0.25,0.26,0.23,0.28,0.26,0.27,0.24,,0.27,0.28,0.071006575,2015
50113,Laval,QC,1160 Boul Pie-Ix,45.547463,-73.7483166,35,"PE,LU,P6,R",DMean,0.12,0.16,0.19,0.21,0.24,0.26,0.3,0.37,0.51,0.6,0.88,0.88,90.684931507,0.32,0.3,0.24,0.2,0.2,0.18,0.21,0.18,0.22,0.2,,0.24,0.23,0.083046859,2015
50115,Montral,QC,1001 Boul De Maisonneuve Ouest,45.501531,-73.574311,56,"T,LU,P6,C",DMean,0.18,0.26,0.31,0.34,0.37,0.39,0.42,0.45,0.49,0.58,0.66,0.66,100,0.36,0.36,0.37,0.33,0.32,0.31,0.35,0.31,0.33,0.33,0.36,0.35,0.34,0.067819772,2015
50128,Montral,QC,"90-A Rue Herve-Saint-Martin, Dorval",45.468322,-73.741198,33,"PE,LU,P3,C",DMean,0.11,0.14,0.17,0.19,0.22,0.23,0.27,0.31,0.37,0.4,0.65,0.65,95.616438356,0.29,0.26,0.22,0.19,0.18,0.16,0.18,0.17,0.19,0.16,0.2,0.22,0.2,0.063815447,2015
50135,Montral,QC,4240 Rue Charleroi,45.5934,-73.63726,41,"PE,LU,P6,R",DMean,0.13,0.16,0.2,0.23,0.27,0.3,0.39,0.47,0.63,0.77,1.03,1.03,98.630136986,0.38,0.44,0.28,0.22,0.21,0.19,0.22,0.19,0.22,0.22,0.26,0.28,0.26,0.115389145,2015
50204,Gatineau,QC,"255 St-Redempteur, Hull",45.435987,-75.723429,62,"PE,LU,P5,R",DMean,0.11,0.15,0.17,0.19,0.22,0.25,0.28,0.33,0.38,0.4,0.58,0.58,97.534246575,0.27,0.27,0.23,0.19,0.18,0.17,0.19,0.17,0.19,0.18,0.22,0.23,0.21,0.062584695,2015
50308,Quebec,QC,600 Rue Des Sables,46.821177,-71.220495,8,"PE,LU,P6,R",DMean,0.13,0.15,0.17,0.2,0.23,0.26,0.31,0.36,0.42,0.53,0.74,0.74,97.260273973,0.31,0.27,0.26,0.21,0.18,0.17,0.2,0.18,0.2,0.2,0.22,0.22,0.22,0.076729158,2015
54401,Saint-Anicet,QC,1128 De La Guerre,45.120624,-74.2896,50,"RB,NU,P2,A",DMean,0.13,0.16,0.18,0.21,0.26,0.28,0.31,0.33,0.35,0.36,0.39,0.39,84.657534247,0.18,0.19,0.18,0.19,0.22,0.25,0.29,0.28,0.27,,,,,,2015
54501,L'assomption,QC,801 St-Etienne/Route 344,45.80942,-73.43473,10,"PE,SU,P3,A",DMean,0.13,0.16,0.19,0.21,0.24,0.26,0.29,0.32,0.37,0.39,0.53,0.53,99.452054795,0.25,0.25,0.22,0.19,0.21,0.22,0.27,0.24,0.23,0.18,0.2,0.22,0.22,0.056244343,2015
55201,Lemieux,QC,1290 Rte Des Atocas,46.3037,-72.060685,92,"RB,NU,P1,F",DMean,0.13,0.16,0.18,0.2,0.24,0.26,0.3,0.34,0.35,0.37,0.39,0.39,99.178082192,0.19,0.19,0.19,0.19,0.23,0.22,0.3,0.29,0.26,0.18,0.18,0.19,0.22,0.054767863,2015
60104,Ottawa,ON,Rideau & Wurtemburg,45.43433,-75.676,72,"PE,LU,P6,R",DMean,0.12,0.14,0.17,0.19,0.22,0.24,0.27,0.31,0.35,0.39,0.52,0.52,100,0.26,0.26,0.23,0.19,0.18,0.16,0.19,0.17,0.19,0.17,0.21,0.23,0.2,0.056007555,2015
60204,Windsor,ON,467 University Ave. West,42.315778,-83.043667,184,"T,LU,P4,R",DMean,0.13,0.18,0.21,0.25,0.29,0.32,0.36,0.41,0.46,0.5,0.71,0.71,92.328767123,0.34,,0.29,0.26,0.22,0.22,0.26,0.24,0.23,0.22,0.29,0.31,0.26,0.07790667,2015
60430,Toronto,ON,125 Resources Road,43.709444,-79.5435,149,"PE,LU,P6,C",DMean,0.13,0.18,0.21,0.23,0.27,0.29,0.33,0.36,0.42,0.47,0.5,0.5,98.630136986,0.26,0.29,0.27,0.24,0.24,0.23,0.24,0.22,0.26,0.21,0.28,0.24,0.25,0.062802655,2015
60512,Hamilton,ON,Elgin & Kelly,43.25778,-79.86167,94,"PS,LU,P5,R",DMean,0.13,0.17,0.2,0.24,0.28,0.31,0.36,0.39,0.43,0.48,0.56,0.56,91.780821918,0.25,0.27,0.26,0.25,0.27,0.28,0.25,0.23,0.25,0.22,0.26,0.24,0.25,0.072734574,2015
70118,Winnipeg,MB,299 Scotia St.,49.93207,-97.11317,227,"PE,LU,P5,R",DMean,0.05,0.13,0.16,0.18,0.2,0.21,0.25,0.29,0.36,0.38,0.57,0.57,89.04109589,0.19,0.2,0.2,0.19,0.18,0.2,0.24,0.19,0.15,0.13,,0.17,0.19,0.060110376,2015
70119,Winnipeg,MB,65 Ellen Street,49.89799,-97.14653,229,"PE,LU,P6,R",DMean,0.06,0.13,0.16,0.19,0.22,0.23,0.25,0.28,0.35,0.47,0.61,0.61,87.397260274,0.21,0.24,0.22,0.2,0.18,0.18,0.22,0.16,0.16,0.14,0.18,0.23,0.2,0.065263998,2015
80111,Regina,SK,1621 Albert St.,50.4527,-104.616,585,"PE,LU,P4,R",DMean,0.11,0.14,0.17,0.18,0.2,0.22,0.24,0.3,0.51,0.77,1.6,1.6,99.178082192,0.22,0.22,0.21,0.19,0.18,0.24,0.28,0.19,0.16,0.17,0.18,0.2,0.2,0.116209456,2015
80211,Saskatoon,SK,511 1st Avenue North,52.13613,-106.66293,483,"PE,LU,P4,R",DMean,0.1,0.14,0.17,0.19,0.21,0.23,0.28,0.32,0.41,1.15,1.52,1.52,77.260273973,,0.2,0.21,0.21,0.19,0.26,0.27,0.19,0.18,,,0.21,,,2015
90120,Edmonton,AB,6240 113 Street,53.5001,-113.5261,670,"PE,LU,P4,R",DMean,0.04,0.1,0.13,0.16,0.2,0.22,0.26,0.3,0.38,0.48,0.95,0.95,97.808219178,0.22,0.21,0.19,0.16,0.14,0.14,0.18,0.15,0.14,0.16,0.21,0.27,0.18,0.081382295,2015
90121,Edmonton,AB,17 Street & 105 Avenue,53.54823,-113.36811,670,"PS,LU,P3,I",DMean,0,0.11,0.16,0.2,0.23,0.25,0.32,0.39,0.48,0.63,1.18,1.18,95.616438356,0.31,0.18,0.15,0.2,0.16,0.18,0.24,0.18,0.17,0.19,0.23,0.31,0.21,0.111000887,2015
90130,Edmonton,AB,10255 - 104th Street,53.54445,-113.49884,663,"PE,LU,P5,R",DMean,0,0.06,0.18,0.23,0.28,0.34,0.49,0.66,0.73,0.83,1.18,1.18,96.98630137,0.52,0.29,0.31,0.22,0.18,0.12,0.29,0.14,0.07,0.18,0.32,0.42,0.26,0.171730902,2015
90222,Calgary,AB,39 St. & 29 Ave. N.W.,51.079222,-114.141828,1120,"PE,LU,P4,R",DMean,0,0.13,0.19,0.21,0.24,0.26,0.29,0.31,0.45,0.58,1,1,95.890410959,0.23,0.23,0.25,0.1,0.1,0.22,0.23,0.29,0.19,0.22,0.21,0.26,0.21,0.09770629,2015
90228,Calgary,AB,620 7th Ave Sw,51.04701,-114.07564,105,"PE,LU,P6,R",DMean,0.15,0.21,0.25,0.27,0.32,0.36,0.43,0.58,0.74,0.79,0.79,0.79,23.835616438,0.34,0.31,0.27,,,,,,,,,,,,2015
90229,Calgary,AB,4700 110 Avenue Se,50.955122,-113.969742,1032,"PE,LU,P3,I",DMean,0.1,0.13,0.17,0.2,0.23,0.27,0.33,0.41,0.51,0.63,0.99,0.99,100,0.31,0.25,0.23,0.18,0.17,0.16,0.16,0.24,0.16,0.2,0.24,0.32,0.22,0.101466959,2015
90230,Calgary,AB,2425 9th Ave Se,51.0309,-114.0091,1030,"PE,LU,P4,P",DMean,0.06,0.11,0.13,0.15,0.19,0.23,0.3,0.44,0.63,0.75,0.91,0.91,73.698630137,,,,0.15,0.13,0.13,0.14,0.22,0.16,0.21,0.2,0.34,,,2015
90302,Red Deer,AB,73 Street & Riverside Drive,52.29867,-113.79352,858,"PE,MU,P3,R",DMean,0.1,0.13,0.18,0.2,0.23,0.29,0.36,0.4,0.46,0.53,0.67,0.67,99.726027397,0.32,0.25,0.25,0.2,0.16,0.19,0.21,0.2,0.16,0.18,0.25,0.32,0.22,0.089047703,2015
90402,Medicine Hat,AB,12th St Nw & Division Ave.,50.04893,-110.68116,709,"PE,MU,P3,R",DMean,0.1,0.1,0.12,0.14,0.17,0.2,0.2,0.22,0.33,0.4,0.75,0.75,96.712328767,0.16,0.19,0.18,0.16,0.14,0.14,0.16,0.19,0.12,0.13,0.14,0.16,0.16,0.064980831,2015
90502,Lethbridge,AB,2805 12 Ave N,49.71621,-112.8006,918,"PS,MU,P3,I",DMean,0.1,0.12,0.16,0.2,0.21,0.23,0.25,0.29,0.38,0.59,0.68,0.68,98.356164384,0.19,0.2,0.2,0.2,0.19,0.17,0.18,0.25,0.16,0.18,0.21,0.22,0.2,0.071525198,2015
90601,Fort Saskatchewan,AB,9209a-96 Ave,53.69874,-113.22285,628,"T,SU,P3,R",DMean,0,0.01,0.06,0.12,0.2,0.24,0.29,0.37,0.49,0.59,0.96,0.96,99.452054795,0.24,0.17,0.14,0.09,0.14,0.01,0.09,0.11,0.04,0.2,0.24,0.3,0.15,0.131403059,2015
90701,Fort Mcmurray,AB,Franklin Avenue,56.73341,-111.39047,260,"PE,MU,P3,W",DMean,0,0.01,0.04,0.07,0.1,0.12,0.16,0.21,0.36,0.74,1.11,1.11,99.726027397,0.13,0.11,0.12,0.06,0.05,0.1,0.2,0.03,0.04,0.05,0.12,0.11,0.09,0.117471306,2015
91701,Steeper,AB,Ne 12 48 22 W5,53.1325,-117.09111,1428,"RB,NU,P1,F",DMean,0,0,0,0,0,0,0.01,0.06,0.09,0.14,0.66,0.66,98.356164384,0,0.01,0,0,0,0,0.01,0.01,0.01,0,0.02,0.04,0.01,0.048374908,2015
92001,Grande Prairie,AB,10327 - 107 Avenue,55.1766,-118.8078,658,"PE,NU,P3,W",DMean,0.09,0.12,0.16,0.2,0.24,0.27,0.33,0.4,0.49,0.58,0.75,0.75,99.452054795,0.28,0.29,0.24,0.21,0.19,0.15,0.15,0.13,0.13,0.2,0.29,0.35,0.22,0.098455259,2015
100110,Burnaby,BC,700 Hammarskjold Drive,49.279214,-122.970707,105,"T,LU,P4,R",DMean,0.12,0.16,0.19,0.2,0.23,0.25,0.28,0.33,0.36,0.38,0.57,0.57,98.356164384,0.26,0.22,0.22,0.21,0.21,0.18,0.2,0.19,0.19,0.24,0.24,0.22,0.22,0.055110175,2015
100111,Port Moody,BC,Moody & Esplanade St.,49.280893,-122.849291,17,"PE,LU,P5,W",DMean,0.14,0.19,0.22,0.25,0.3,0.34,0.39,0.44,0.5,0.64,0.67,0.67,98.904109589,0.36,0.29,0.27,0.24,0.24,0.23,0.27,0.26,0.24,0.29,0.36,0.27,0.28,0.089530838,2015
100112,Vancouver,BC,Robson/Hornby,49.282272,-123.12188,33,"T,LU,P6,R",DMean,0.17,0.24,0.27,0.3,0.36,0.41,0.48,0.54,0.62,0.68,0.83,0.83,83.287671233,0.37,0.31,0.36,0.33,0.26,0.28,,0.26,0.37,0.45,0.36,0.3,0.34,0.108143042,2015
100119,Burnaby,BC,5455 Rumble Street,49.21519,-122.985666,125,"PE,LU,P6,R",DMean,0.1,0.14,0.18,0.2,0.25,0.28,0.33,0.4,0.47,0.5,0.6,0.6,95.616438356,0.34,0.26,0.26,0.2,0.19,0.16,0.18,0.16,0.18,0.25,0.29,0.23,0.23,0.083193294,2015
100121,North Vancouver,BC,75 Riverside Dr.,49.301472,-123.020417,4,"PS,LU,P5,I",DMean,0.1,0.13,0.15,0.17,0.2,0.23,0.26,0.29,0.32,0.35,0.48,0.48,96.438356164,0.23,0.2,0.19,0.16,0.16,0.13,0.18,0.18,0.16,0.22,0.23,0.21,0.19,0.052257586,2015
100127,Surrey,BC,72nd Ave. And 190 St.,49.132928,-122.694224,90,"T,LU,P4,R",DMean,0.1,0.13,0.15,0.17,0.2,0.23,0.27,0.31,0.38,0.4,0.46,0.46,95.616438356,0.22,0.2,0.2,0.18,0.16,0.14,0.15,0.15,0.17,0.22,0.26,0.19,0.19,0.060563832,2015
100128,Richmond,BC,10371 Aragon Rd,49.141437,-123.108215,8,"PE,LU,P4,R",DMean,0.1,0.12,0.15,0.17,0.23,0.26,0.35,0.43,0.57,0.61,0.73,0.73,98.630136986,0.28,0.25,0.22,0.17,0.14,0.13,0.16,0.16,0.18,0.25,0.35,0.24,0.21,0.107090665,2015
100132,North Vancouver,BC,16th St. & Jones Ave,49.323994,-123.083496,71,"PE,LU,P5,R",DMean,0.12,0.16,0.19,0.21,0.25,0.29,0.38,0.43,0.5,0.56,0.61,0.61,99.178082192,0.33,0.27,0.25,0.21,0.2,0.18,0.22,0.19,0.21,0.29,0.32,0.23,0.24,0.09005286,2015
100134,Richmond,BC,3153 Templeton Street,49.186265,-123.152422,2,"PE,LU,P5,C",DMean,0.1,0.14,0.18,0.22,0.28,0.33,0.41,0.52,0.61,0.81,0.9,0.9,98.082191781,0.36,0.31,0.28,0.23,0.19,0.15,0.17,0.16,0.2,0.29,0.41,0.29,0.25,0.128068166,2015
100135,Coquitlam,BC,1250 Pinetree Way,49.288265,-122.79157,47,"PE,LU,P5,R",DMean,0.12,0.15,0.18,0.21,0.24,0.27,0.32,0.36,0.43,0.45,0.51,0.51,100,0.31,0.25,0.24,0.2,0.2,0.17,0.2,0.18,0.19,0.25,0.29,0.22,0.22,0.069849864,2015
100138,Vancouver,BC,6350 Marine Drive,49.36861,-123.276741,66,"T,LU,P2,R",DMean,0.11,0.16,0.19,0.22,0.24,0.25,0.27,0.29,0.34,0.38,0.62,0.62,97.534246575,0.26,0.24,0.23,0.21,0.19,0.18,0.22,0.2,0.2,0.24,0.24,0.22,0.22,0.05276692,2015
100140,Delta,BC,411 Milsom Wynd,49.009877,-123.081997,52,"PE,LU,P3,R",DMean,0.08,0.1,0.12,0.13,0.15,0.17,0.19,0.22,0.28,0.33,0.46,0.46,99.452054795,0.19,0.16,0.15,0.14,0.13,0.1,0.13,0.12,0.11,0.14,0.19,0.15,0.14,0.046615813,2015
100141,Vancouver,BC,"1290 East 11th Ave,",49.260267,-123.077776,0,"T,LU,P5,R",DMean,0.13,0.19,0.23,0.26,0.3,0.33,0.39,0.52,0.74,0.94,0.98,0.98,52.328767123,,,,,0.27,0.22,0.24,0.26,,,0.42,0.34,,,2015
100304,Victoria,BC,"Sj Willis School, 923 Topaz Ave.",48.441942,-123.363165,29,"T,LU,P6,R",DMean,0.11,0.16,0.21,0.25,0.3,0.33,0.42,0.47,0.54,0.64,0.72,0.72,99.452054795,0.32,0.31,0.3,0.24,0.21,0.18,0.2,0.2,0.23,0.29,0.42,0.33,0.27,0.103193314,2015
100701,Kelowna,BC,3333 College Way,49.862336,-119.477367,347,"PE,MU,P4,R",DMean,0.14,0.17,0.22,0.25,0.3,0.33,0.37,0.4,0.48,0.62,1.96,1.96,98.630136986,0.29,0.35,0.3,0.24,0.21,0.2,0.21,0.38,0.23,0.29,0.28,0.29,0.27,0.135404712,2015
101003,Abbotsford,BC,32995 Bevan Ave.,49.04258,-122.30982,63,"PE,LU,P4,R",DMean,0.11,0.15,0.18,0.21,0.24,0.28,0.33,0.37,0.43,0.44,0.45,0.45,98.082191781,0.29,0.25,0.24,0.22,0.2,0.17,0.17,0.18,0.2,0.24,0.29,0.24,0.22,0.071047636,2015
101005,Abbotsford,BC,1073 Columbia Street,49.021554,-122.326523,65,"PE,LU,P3,A",DMean,0.12,0.15,0.17,0.19,0.22,0.23,0.27,0.3,0.34,0.35,0.44,0.44,96.438356164,0.22,0.2,0.2,0.18,0.17,0.16,0.18,0.18,0.19,0.23,0.26,0.22,0.2,0.051451572,2015
101101,Chilliwack,BC,46360 Airport Road,49.155848,-121.940279,16,"PE,MU,P3,R",DMean,0.13,0.16,0.19,0.21,0.23,0.25,0.3,0.33,0.37,0.42,0.49,0.49,97.808219178,0.22,0.23,0.24,0.22,0.2,0.19,0.22,0.23,0.19,0.24,0.25,0.22,0.22,0.056165677,2015
101301,Langley,BC,23752 52nd Avenue,49.09561,-122.567104,89,"PE,LU,P3,R",DMean,0.09,0.11,0.13,0.15,0.18,0.2,0.24,0.28,0.32,0.37,0.45,0.45,96.98630137,0.2,0.17,0.17,0.18,0.15,0.12,0.14,0.15,0.15,0.2,0.22,0.15,0.17,0.056553729,2015
101401,Hope,BC,62715 Airport Road,49.369887,-121.49912,39,"RB,SU,P2,F",DMean,0.1,0.12,0.14,0.16,0.17,0.18,0.2,0.22,0.28,0.32,0.43,0.43,94.794520548,0.18,0.17,0.18,0.17,0.15,0.13,0.17,0.17,0.13,0.17,0.18,0.18,0.16,0.038765219,2015
101501,Maple Ridge,BC,23124 118th Avenue,49.21494,-122.582057,54,"PE,LU,P4,R",DMean,0.11,0.14,0.17,0.2,0.24,0.27,0.34,0.39,0.5,0.54,0.58,0.58,99.178082192,0.31,0.24,0.23,0.2,0.19,0.15,0.19,0.17,0.19,0.27,0.32,0.23,0.22,0.085817305,2015
106800,Ucluelet,BC,Coast Guard Drive,48.921799,-125.541209,14,"RB,SU,P2,W",DMean,0.09,0.11,0.12,0.13,0.14,0.15,0.15,0.16,0.16,0.16,0.2,0.2,83.287671233,0.14,0.14,0.15,,0.14,0.11,0.12,0.11,0.12,0.13,0.14,0.14,0.13,0.019051747,2015
